255.0,2.5495461e-05
250.0,2.6037818e-05
245.0,2.6521624e-05
240.0,2.7033402e-05
235.0,2.7488595e-05
230.0,2.797128e-05
225.0,2.8455826e-05
220.0,2.8876993e-05
215.0,2.9365747e-05
210.0,2.9801513e-05
205.0,3.0240866e-05
200.0,3.0601121e-05
195.0,3.1033545e-05
190.0,3.137684e-05
185.0,3.1754658e-05
180.0,3.2128908e-05
175.0,3.2455726e-05
170.0,3.2793334e-05
165.0,3.3119031e-05
160.0,3.3460841e-05
155.0,3.3741242e-05
150.0,3.4071541e-05
145.0,3.4341669e-05
140.0,3.4656972e-05
135.0,3.4903329e-05
130.0,3.51778e-05
125.0,3.5414745e-05
120.0,3.5650814e-05
115.0,3.5868336e-05
110.0,3.6074463e-05
105.0,3.6277492e-05
100.0,3.6505026e-05
95.0,3.668194e-05
90.0,3.683965e-05
85.0,3.7043297e-05
80.0,3.7204733e-05
75.0,3.735143e-05
70.0,3.7476464e-05
65.0,3.7626884e-05
60.0,3.7749433e-05
55.0,3.7880673e-05
50.0,3.7969559e-05
45.0,3.8050639e-05
40.0,3.8142629e-05
35.0,3.8235961e-05
30.0,3.8295875e-05
25.0,3.8355669e-05
20.0,3.8415717e-05
15.0,3.8461654e-05
10.0,3.8501141e-05
5.0,3.8528739e-05
